Timestamp,gun,healthcare,women_issues,genders,taxes,justice,equal,capitalism,two_party,teacher,minimmum wage,immigration,electoral_college,death,church,education_military,justice_reform,drugs,coronavirus,party
2020/10/06 10:07:13 PM EST,3,5,5,1,5,3,2,3,1,5,3,3,3,2,3,1,3,5,1,Republican
2020/10/06 10:07:35 PM EST,1,5,2,5,5,5,1,1,1,5,5,5,1,1,3,1,5,5,2,Democrat
2020/10/06 10:08:25 PM EST,5,5,5,5,5,5,1,2,2,5,5,5,1,1,1,1,5,5,2,Democrat
2020/10/06 10:08:38 PM EST,3,4,5,1,4,5,1,3,1,5,5,4,1 ,1,2,3,5,5,2,Democrat
2020/10/06 10:13:28 PM EST,3,5,5,2,5,5,1,4,2,5,5,5,2,3,1,1,5,5,2,Democrat
2020/10/06 10:16:48 PM EST,5,5,5,5,5,5,1,1,1,5,5,4,3,3,1,1,5,5,1,Democrat
2020/10/06 10:17:24 PM EST,2,4,1,5,5,5,1,1,1,5,5,5,1,2,1,1,5,5,1,Democrat
2020/10/06 10:17:39 PM EST,1,5,4,5,2,5,1,1,1,5,5,5,1,1,2,1,5,5,2,Democrat
2020/10/06 10:18:52 PM EST,2,5,5,5,4,5,1,1,1,5,5,5,1,1,2,1,5,5,1,Democrat
2020/10/06 10:18:55 PM EST,3,4,5,5,5,4,5,3,1,5,4,4,3,4,2,3,4,3,1,Democrat
2020/10/06 10:19:17 PM EST,1,5,5,5,3,5,1,1,1,5,5,5,1,1,2,1,5,5,1,Democrat
2020/10/06 10:20:21 PM EST,2,5,2,5,5,5,1,2,1,5,5,5,1,1,2,1,5,5,1,Democrat
2020/10/06 10:21:13 PM EST,5,5,5,5,5,5,2,2,3,5,5,5,2,1,1,3,5,5,1,Democrat
2020/10/06 10:24:05 PM EST,5,5,5,3,4,5,3,1,2,5,5,5,3,1,2,1,5,5,1,Democrat
2020/10/06 10:24:06 PM EST,1,5,5,5,5,5,1,1,1,5,5,5,1,1,3,1,5,5,1,Democrat
2020/10/06 10:24:17 PM EST,2,3,1,5,4,4,1,1,1,4,4,5,2,3,3,2,5,5,1,Democrat
2020/10/06 10:24:54 PM EST,1,3,5,5,5,3,3,5,5,5,3,5,5,2,5,3,5,5,3,Republican
2020/10/06 10:24:55 PM EST,1,5,1,5,3,5,1,1,1,3,3,5,1,4,1,1,5,5,1,Democrat
2020/10/06 10:25:55 PM EST,5,5,5,4,4,5,5,1,1,5,5,5,3,1,2,2,5,5,1,Democrat
2020/10/06 10:29:01 PM EST,2,5,2,5,4,5,1,1,1,5,5,5,1,1,1,1,5,5,2,Democrat
2020/10/06 10:29:14 PM EST,5,5,5,5,3,5,4,2,2,5,5,5,1,2,1,1,5,5,1,Democrat
2020/10/06 10:29:17 PM EST,1,5,3,5,4,5,1,1,1,4,3,5,1,1,2,1,5,5,1,Democrat
2020/10/06 10:30:24 PM EST,2,5,4,5,4,5,1,1,1,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/06 10:30:46 PM EST,1,5,2,5,5,5,1,1,1,5,4,5,1,1,1,1,5,5,1,Democrat
2020/10/06 10:33:05 PM EST,4,4,4,3,4,4,2,4,2,5,5,5,3,3,4,1,4,3,1,Democrat
2020/10/06 10:49:08 PM EST,4,5,2,1,5,3,3,4,3,5,5,4,2,3,3,1,3,1,2,Republican
2020/10/06 10:50:26 PM EST,1,5,1,5,3,5,1,1,1,5,3,5,1,1,1,1,5,5,1,Democrat
2020/10/06 10:50:39 PM EST,5,5,4,5,5,5,1,1,2,5,5,5,2,1,1,1,5,5,1,Democrat
2020/10/06 10:51:08 PM EST,5,5,4,5,5,5,1,1,2,5,5,5,2,1,1,1,5,5,1,Democrat
2020/10/06 11:00:42 PM EST,5,5,3,3,5,5,1,4,1,5,4,4,3,3,3,1,5,4,1,Democrat
2020/10/06 11:03:28 PM EST,5,5,4,3,4,5,1,3,3,4,5,5,4,2,1,2,5,4,1,Democrat
2020/10/06 11:03:51 PM EST,5,5,5,5,4,5,1,3,1,5,3,4,1,1,1,1,5,4,1,Democrat
2020/10/06 11:03:56 PM EST,1,2,4,5,3,5,1,3,1,3,4,5,1,1,1,2,5,5,1,Democrat
2020/10/06 11:04:07 PM EST,5,5,5,3,5,4,4,4,3,4,5,5,2,2,4,2,5,3,2,Democrat
2020/10/06 11:10:37 PM EST,5,5,4,5,5,5,5,4,2,5,5,5,1,1,1,1,5,4,2,Democrat
2020/10/06 11:11:31 PM EST,1,1,1,1,3,2,5,5,3,2,3,3,5,5,3,5,1,2,5,Republican
2020/10/06 11:13:27 PM EST,4,5,3,3,3,4,3,4,4,5,4,4,3,2,4,1,5,1,2,Democrat
2020/10/06 11:15:27 PM EST,4,4,4,4,4,3,2,3,2,4,4,5,2,3,3,1,4,4,1,Democrat
2020/10/06 11:27:05 PM EST,3,5,3,3,5,3,3,3,3,5,5,3,3,3,3,1,5,1,1,Democrat
2020/10/06 11:29:13 PM EST,5,5,4,5,5,5,5,2,2,5,5,5,1,5,4,1,5,4,1,Democrat
2020/10/06 11:29:23 PM EST,5,4,4,5,5,4,4,4,2,3,4,4,3,3,1,2,4,3,1,Democrat
2020/10/06 11:31:10 PM EST,5,5,3,3,5,4,1,3,1,5,5,4,1,3,2,1,5,4,1,Democrat
2020/10/06 11:44:51 PM EST,5,5,5,5,5,5,3,2,2,4,4,5,4,2,1,1,5,3,1,Democrat
2020/10/06 11:45:39 PM EST,5,5,3,1,5,3,5,4,5,5,3,4,4,1,5,5,2,1,3,Republican
2020/10/06 11:48:01 PM EST,5,5,5,4,4,4,2,3,3,3,4,5,3,1,3,3,3,5,1,Democrat
2020/10/06 11:49:50 PM EST,3,5,5,5,5,5,1,2,3,5,5,5,2,2,1,1,5,4,1,Democrat
2020/10/06 11:55:51 PM EST,5,5,5,4,3,5,1,3,1,4,3,5,1,2,2,1,5,3,1,Democrat
2020/10/06 11:56:30 PM EST,4,5,4,3,5,5,3,4,2,5,4,5,1,5,1,1,5,5,1,Democrat
2020/10/07 12:04:18 AM EST,5,5,5,5,3,5,1,2,2,5,5,5,3,2,2,1,5,5,1,Democrat
2020/10/07 12:07:04 AM EST,4,5,3,4,5,4,1,3,2,5,4,4,2,4,1,1,4,5,1,Democrat
2020/10/07 12:07:10 AM EST,5,5,5,5,5,5,1,3,2,4,5,5,3,2,4,2,4,3,1,Democrat
2020/10/07 12:08:57 AM EST,4,5,2,1,5,4,2,5,3,5,3,2,2,5,3,4,1,5,2,Republican
2020/10/07 12:15:09 AM EST,5,5,4,5,3,5,2,3,3,3,4,5,1,3,1,1,5,5,1,Democrat
2020/10/07 12:16:42 AM EST,3,5,2,5,5,5,1,1,1,5,5,5,1,1,2,1,5,5,2,Democrat
2020/10/07 12:24:22 AM EST,2,5,3,5,2,3,5,3,3,2,5,4,3,2,3,2,3,2,3,Democrat
2020/10/07 12:29:33 AM EST,5,5,5,3,5,5,1,2,3,5,5,5,3,3,3,1,5,4,2,Democrat
2020/10/07 12:44:46 AM EST,3,4,3,2,4,4,3,3,2,3,3,5,4,4,3,3,4,4,1,Democrat
2020/10/07 1:45:53 AM EST,5,5,4,5,5,4,1,2,1,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 1:48:54 AM EST,2,5,5,5,4,5,1,1,1,4,5,5,1,1,2,1,3,5,1,Democrat
2020/10/07 1:49:21 AM EST,5,5,5,5,5,5,5,3,3,4,5,5,3,3,1,1,5,3,1,Democrat
2020/10/07 1:49:22 AM EST,5,5,4,5,4,5,1,3,3,5,5,5,3,3,3,1,5,5,1,Democrat
2020/10/07 3:32:46 AM EST,4,5,5,5,5,5,1,1,1,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 3:36:52 AM EST,5,5,2,3,5,4,3,2,2,5,5,4,3,3,3,2,5,4,1,Democrat
2020/10/07 3:56:44 AM EST,5,5,5,5,4,5,1,2,1,5,5,5,1,2,1,1,5,4,1,Democrat
2020/10/07 4:55:34 AM EST,5,5,4,5,2,5,2,4,3,5,4,4,2,2,4,1,2,2,3,Democrat
2020/10/07 5:19:31 AM EST,2,2,1,2,3,5,2,5,1,4,2,5,4,1,5,3,5,4,3,Republican
2020/10/07 5:30:55 AM EST,1,4,2,5,5,4,1,1,1,4,3,5,1,1,2,1,5,5,1,Democrat
2020/10/07 5:43:33 AM EST,3,5,5,5,5,4,3,3,1,5,5,5,1,3,1,1,5,5,1,Democrat
2020/10/07 6:37:31 AM EST,2,5,5,5,5,5,1,1,1,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 6:50:00 AM EST,1,5,4,5,1,5,1,1,1,5,5,5,1,3,1,1,5,5,2,Democrat
2020/10/07 6:56:31 AM EST,1,2,1,2,4,2,4,5,3,4,3,5,5,3,4,2,5,5,3,Republican
2020/10/07 7:00:07 AM EST,1,2,1,2,5,2,4,5,2,3,3,5,5,3,4,2,5,5,3,Republican
2020/10/07 7:04:24 AM EST,2,3,5,3,2,3,3,3,2,3,4,1,3,1,3,1,3,3,3,Democrat
2020/10/07 7:16:12 AM EST,2,5,1,5,5,5,1,1,1,5,5,5,1,3,1,1,5,5,1,Democrat
2020/10/07 7:16:21 AM EST,5,5,2,4,5,5,1,4,3,5,5,5,1,1,1,1,5,4,2,Democrat
2020/10/07 7:16:38 AM EST,1,5,1,5,3,5,1,1,1,5,1,5,2,1,2,1,5,5,1,Democrat
2020/10/07 7:19:00 AM EST,5,4,5,5,3,5,2,2,3,4,3,4,3,2,2,1,3,4,1,Democrat
2020/10/07 7:20:34 AM EST,2,5,5,5,3,5,1,1,1,5,5,5,1,1,2,1,5,5,1,Democrat
2020/10/07 7:29:36 AM EST,5,5,4,3,5,5,5,3,4,5,5,5,3,2,2,1,5,3,1,Democrat
2020/10/07 7:37:51 AM EST,4,5,4,4,3,4,1,2,2,3,3,5,3,2,4,2,4,1,1,Democrat
2020/10/07 7:41:12 AM EST,4,5,4,5,3,5,1,1,3,4,5,5,4,1,1,1,5,5,1,Democrat
2020/10/07 7:46:26 AM EST,3,5,3,1,5,4,3,3,3,5,3,5,3,3,4,3,3,3,3,Republican
2020/10/07 7:47:20 AM EST,1,4,5,1,2,2,4,4,1,5,5,3,3,5,4,3,2,4,3,Republican
2020/10/07 7:47:59 AM EST,5,5,5,5,5,5,2,4,2,5,5,5,2,3,2,1,5,5,2,Democrat
2020/10/07 7:51:52 AM EST,5,5,4,5,3,3,1,2,2,3,5,5,2,1,3,1,5,5,1,Democrat
2020/10/07 7:54:14 AM EST,5,5,5,3,4,4,3,3,3,4,5,4,2,3,1,2,4,5,1,Democrat
2020/10/07 7:54:25 AM EST,5,5,5,5,2,5,5,5,3,5,5,5,3,3,3,1,5,1,1,Democrat
2020/10/07 7:56:30 AM EST,4,5,5,5,5,4,1,1,2,5,5,5,1,2,2,1,5,3,1,Democrat
2020/10/07 7:58:01 AM EST,3,4,2,2,5,3,2,4,3,3,4,4,1,4,3,2,3,4,2,Democrat
2020/10/07 8:02:14 AM EST,5,5,3,5,4,3,3,3,1,5,5,5,2,2,2,2,5,3,2,Democrat
2020/10/07 8:05:27 AM EST,3,5,5,1,5,5,1,5,1,5,4,5,1,4,2,1,5,4,1,Democrat
2020/10/07 8:05:41 AM EST,5,5,4,5,5,5,5,1,1,5,4,4,1,1,1,1,5,3,1,Democrat
2020/10/07 8:09:03 AM EST,5,5,5,5,3,5,1,2,3,5,5,5,3,3,3,1,4,5,1,Democrat
2020/10/07 8:12:45 AM EST,5,5,5,5,5,5,5,1,1,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 8:18:27 AM EST,3,5,4,4,5,4,2,2,2,5,4,5,3,2,4,2,4,3,1,Democrat
2020/10/07 8:20:57 AM EST,4,4,4,4,5,5,2,3,3,4,3,4,3,3,3,2,4,3,1,Democrat
2020/10/07 8:22:37 AM EST,5,5,5,5,5,5,1,3,2,5,4,5,3,3,1,1,5,2,1,Democrat
2020/10/07 8:25:18 AM EST,5,5,3,1,5,4,5,1,3,5,1,4,5,5,4,1,5,5,2,Republican
2020/10/07 8:28:20 AM EST,1,3,2,5,3,5,1,1,1,4,3,5,1,1,2,1,5,5,1,Democrat
2020/10/07 8:28:22 AM EST,5,3,5,2,5,4,1,3,2,5,3,5,2,4,3,2,5,2,1,Republican
2020/10/07 8:28:57 AM EST,3,5,5,1,5,3,2,1,3,5,5,4,2,4,3,1,1,5,4,Republican
2020/10/07 8:29:19 AM EST,4,5,2,4,3,3,1,3,2,5,4,4,1,2,5,2,3,4,1,Democrat
2020/10/07 8:38:54 AM EST,5,5,5,5,3,5,3,4,2,5,5,5,3,3,1,1,5,3,1,Democrat
2020/10/07 8:47:01 AM EST,2,4,1,4,4,4,2,2,1,4,4,5,1,2,2,1,5,5,2,Democrat
2020/10/07 8:49:57 AM EST,5,5,5,5,4,5,1,2,1,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 8:50:57 AM EST,5,5,5,5,5,4,1,2,3,5,5,5,3,3,3,1,4,3,1,Democrat
2020/10/07 8:52:17 AM EST,4,3,4,5,4,4,2,3,2,4,3,5,2,1,3,1,5,5,2,Democrat
2020/10/07 9:00:06 AM EST,4,5,1,5,2,5,1,1,1,4,5,4,1,1,1,1,5,5,1,Democrat
2020/10/07 9:00:34 AM EST,5,5,5,3,5,4,5,3,3,5,5,5,3,4,1,1,5,1,1,Democrat
2020/10/07 9:02:30 AM EST,4,5,5,5,5,5,1,2,2,5,5,4,2,3,1,1,5,5,1,Democrat
2020/10/07 9:05:25 AM EST,5,5,5,5,5,5,1,2,1,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 9:05:25 AM EST,3,4,2,1,5,3,2,3,2,4,4,2,1,1,2,2,5,4,3,Democrat
2020/10/07 9:09:15 AM EST,2,3,5,2,4,4,3,4,2,4,3,2,3,2,4,2,2,4,4,Republican
2020/10/07 9:09:25 AM EST,4,5,4,5,4,3,1,1,2,5,5,5,1,1,2,1,3,4,1,Democrat
2020/10/07 9:09:43 AM EST,5,5,2,5,5,4,1,3,4,5,5,5,2,3,1,1,4,4,1,Democrat
2020/10/07 9:10:44 AM EST,4,5,3,3,5,4,4,3,2,5,3,4,3,5,4,4,3,5,1,Republican
2020/10/07 9:11:42 AM EST,5,5,5,5,5,5,1,4,2,5,5,3,1,2,1,1,5,5,2,Democrat
2020/10/07 9:12:25 AM EST,5,5,5,5,5,5,1,3,1,5,4,5,4,1,1,1,5,5,1,Democrat
2020/10/07 9:12:44 AM EST,5,5,5,5,2,5,1,1,1,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 9:14:20 AM EST,5,5,4,5,5,5,1,5,3,5,5,5,5,4,2,1,5,2,3,Democrat
2020/10/07 9:16:31 AM EST,5,5,5,5,5,5,1,2,1,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 9:16:49 AM EST,4,5,3,1,5,4,2,2,3,5,4,3,3,4,4,1,5,5,2,Democrat
2020/10/07 9:17:02 AM EST,1,3,4,1,3,4,4,5,1,5,3,1,4,5,4,2,3,1,1,Republican
2020/10/07 9:17:37 AM EST,5,5,5,5,5,4,5,3,3,4,3,5,3,3,3,1,3,3,2,Democrat
2020/10/07 9:17:38 AM EST,5,5,5,5,5,5,5,2,4,5,5,4,3,4,2,2,5,5,2,Democrat
2020/10/07 9:17:57 AM EST,5,5,3,5,5,5,5,3,1,5,5,5,1,4,1,2,5,5,1,Democrat
2020/10/07 9:18:54 AM EST,4,3,1,2,5,2,4,4,1,5,5,1,3,5,2,2,2,4,2,Republican
2020/10/07 9:19:18 AM EST,5,5,5,5,5,5,1,2,1,5,5,5,1,1,2,1,5,5,1,Democrat
2020/10/07 9:19:32 AM EST,5,5,5,5,5,5,1,3,2,5,4,5,4,1,2,1,5,5,2,Democrat
2020/10/07 9:19:54 AM EST,5,4,3,5,5,4,1,4,1,5,5,5,1,1,3,1,5,5,1,Democrat
2020/10/07 9:19:56 AM EST,2,5,3,4,5,3,2,4,2,4,3,3,3,5,3,2,4,3,1,Republican
2020/10/07 9:20:09 AM EST,1,4,1,1,4,2,4,5,5,1,3,1,5,4,5,2,4,2,5,Republican
2020/10/07 9:21:25 AM EST,5,5,5,3,5,3,1,3,2,4,4,5,3,3,3,1,5,5,2,Democrat
2020/10/07 9:21:26 AM EST,5,5,4,5,5,5,5,4,4,5,5,5,2,2,2,2,4,2,1,Democrat
2020/10/07 9:21:53 AM EST,1,4,1,2,5,2,2,5,1,4,3,1,2,3,3,1,2,5,2,Republican
2020/10/07 9:23:33 AM EST,4,4,2,5,5,5,2,4,3,5,4,5,3,2,3,2,5,5,1,Democrat
2020/10/07 9:23:41 AM EST,5,5,5,4,5,5,1,3,3,5,5,4,2,2,2,1,4,4,2,Democrat
2020/10/07 9:24:09 AM EST,4,4,4,5,5,4,2,2,1,5,5,4,3,2,3,1,5,3,2,Democrat
2020/10/07 9:24:21 AM EST,5,5,5,4,4,3,4,3,3,4,3,5,3,3,2,2,3,3,2,Democrat
2020/10/07 9:26:59 AM EST,1,2,2,1,4,2,4,5,1,4,3,2,5,3,3,3,5,5,4,Republican
2020/10/07 9:27:28 AM EST,5,5,5,5,5,5,1,1,1,5,5,5,2,3,4,1,5,5,2,Democrat
2020/10/07 9:27:38 AM EST,5,5,5,5,5,3,2,4,1,5,4,4,1,3,1,1,4,5,1,Democrat
2020/10/07 9:28:15 AM EST,4,5,4,3,5,5,1,5,3,5,5,4,3,3,2,1,4,1,3,Democrat
2020/10/07 9:28:53 AM EST,5,5,5,5,3,5,2,3,1,5,5,5,3,3,3,1,5,4,1,Democrat
2020/10/07 9:29:06 AM EST,5,5,5,3,4,5,1,3,3,5,5,5,3,1,1,1,5,3,1,Democrat
2020/10/07 9:30:49 AM EST,2,5,5,1,5,5,1,2,3,5,5,5,3,3,3,5,5,5,1,Democrat
2020/10/07 9:32:52 AM EST,4,5,4,2,4,5,1,2,1,4,5,5,2,2,2,1,5,5,1,Democrat
2020/10/07 9:33:08 AM EST,5,5,5,4,5,3,2,1,3,5,4,5,1,1,1,3,5,5,1,Democrat
2020/10/07 9:33:34 AM EST,5,5,5,5,5,5,1,3,3,5,5,5,2,2,1,1,5,5,1,Democrat
2020/10/07 9:33:44 AM EST,5,5,5,3,5,5,1,3,2,5,5,5,2,1,1,1,5,5,1,Democrat
2020/10/07 9:34:08 AM EST,5,5,5,5,5,5,1,1,3,5,5,5,1,1,1,1,5,5,1,Democrat
2020/10/07 9:34:46 AM EST,5,5,5,5,3,3,1,3,2,4,4,4,2,2,2,1,4,3,1,Democrat
2020/10/07 9:35:13 AM EST,4,5,3,4,5,5,1,3,1,5,3,4,2,3,1,1,5,5,2,Democrat
2020/10/07 9:35:18 AM EST,5,5,5,5,5,5,4,3,2,5,5,3,3,1,1,1,5,5,1,Democrat
2020/10/07 9:40:55 AM EST,5,5,5,5,5,5,1,3,2,5,5,5,3,1,1,3,5,5,1,Democrat
2020/10/07 9:41:50 AM EST,5,5,5,5,5,4,2,4,1,5,4,5,1,1,1,2,5,1,2,Democrat
2020/10/07 9:48:05 AM EST,5,5,4,5,4,4,1,2,2,5,5,4,3,3,1,1,5,4,1,Democrat
2020/10/07 9:48:45 AM EST,3,3,3,1,5,2,4,4,3,3,3,1,5,4,4,2,2,1,3,Republican
2020/10/07 9:49:12 AM EST,5,5,5,5,5,5,3,1,1,5,5,5,1,1,1,1,5,4,1,Democrat
2020/10/07 9:49:23 AM EST,5,5,5,5,5,5,1,3,3,5,5,5,3,1,3,1,5,5,2,Democrat
2020/10/07 9:49:35 AM EST,5,5,5,5,5,4,1,1,3,5,5,5,2,2,2,1,5,5,2,Democrat
2020/10/07 9:50:18 AM EST,4,4,4,5,4,4,2,3,1,5,4,2,2,3,2,1,4,2,1,Democrat
2020/10/07 9:52:18 AM EST,5,5,4,4,4,5,2,3,3,5,5,5,3,1,2,1,5,5,1,Democrat
2020/10/07 9:53:39 AM EST,5,5,5,5,5,4,1,3,5,5,4,5,1,1,1,1,5,5,1,Democrat
2020/10/07 9:53:56 AM EST,4,5,5,5,5,5,5,1,2,5,3,4,4,2,3,1,5,5,1,Democrat
2020/10/07 9:54:07 AM EST,5,5,5,5,3,5,1,1,3,5,4,5,2,2,3,1,5,1,1,Democrat
